time,station_id,name,latitude,longitude,aqi,pm25,pm10,co,co2,no2,o3,so2,dust,uv,temp,hum
2026-09-11T19:00:00Z,srinagar,Srinagar,34.0837,74.7973,119,46.4,49.8,956,520,42.7,25,5.4,7,0,19.2,71
2026-09-11T19:00:00Z,anantnag,Anantnag,33.7311,75.1487,112,65.2,68.5,604,503,38.2,44,1.2,7,0,19,86
2026-09-11T19:00:00Z,baramulla,Baramulla,34.198,74.3636,96,29.9,34.6,398,539,14,60,3.7,11,0,17.2,79
2026-09-11T19:00:00Z,budgam,Budgam,33.9299,74.7857,119,46.4,49.8,479,501,42.7,25,5.4,7,0,17.8,71
2026-09-11T19:00:00Z,bandipora,Bandipora,34.4177,74.6431,87,41.6,46.9,277,492,30.4,70,6.6,12,0,17.7,56
2026-09-11T19:00:00Z,ganderbal,Ganderbal,34.2265,74.7748,87,41.6,46.9,355,491,30.4,70,6.6,12,0,19,62
2026-09-11T19:00:00Z,kulgam,Kulgam,33.6444,75.0192,112,65.2,68.5,317,475,38.2,44,1.2,7,0,18.8,69
2026-09-11T19:00:00Z,kupwara,Kupwara,34.5262,74.2546,93,35.9,43,296,535,15.9,80,4.8,16,0,17,70
2026-09-11T19:00:00Z,pulwama,Pulwama,33.8716,74.8988,119,46.4,49.8,509,500,42.7,25,5.4,7,0,15.8,80
2026-09-11T19:00:00Z,shopian,Shopian,33.7167,74.8333,82,13.3,14.3,330,474,14.6,64,1.8,3,0,16,65
2026-09-11T19:00:00Z,sopore,Sopore,34.287,74.467,93,35.9,43,556,546,15.9,80,4.8,16,0,16.9,86
2026-09-11T19:00:00Z,handwara,Handwara,34.4,74.28,93,35.9,43,281,529,15.9,80,4.8,16,0,17.2,76
2026-09-11T19:00:00Z,gulmarg,Gulmarg,34.0484,74.3805,96,29.9,34.6,272,463,14,60,3.7,11,0,11.1,84
2026-09-11T19:00:00Z,pahalgam,Pahalgam,34.0159,75.3151,79,45.4,48.3,427,521,26.5,41,3.9,7,0,15.3,56
2026-09-11T19:00:00Z,sonamarg,Sonamarg,34.305,75.293,97,18.5,20.9,251,468,5.4,69,1.1,7,0,10.9,88
2026-09-11T19:00:00Z,yusmarg,Yusmarg,33.83,74.66,119,46.4,49.8,289,473,42.7,25,5.4,7,0,14.3,75
2026-09-11T19:00:00Z,tangmarg,Tangmarg,34.045,74.429,96,29.9,34.6,272,463,14,60,3.7,11,0,15.6,69
2026-09-11T19:00:00Z,uri,Uri,34.079,74.05,108,49.9,59.4,368,520,16.5,103,6.5,22,0,18.6,93
2026-09-11T19:00:00Z,awantipora,Awantipora,33.92,75.01,79,45.4,48.3,495,487,26.5,41,3.9,7,0,20.2,61
2026-09-11T19:00:00Z,bijbehara,Bijbehara,33.793,75.105,112,65.2,68.5,551,510,38.2,44,1.2,7,0,19.2,69
2026-09-11T19:00:00Z,qazigund,Qazigund,33.64,75.15,112,65.2,68.5,367,490,38.2,44,1.2,7,0,19.4,85
2026-09-11T19:00:00Z,verinag,Verinag,33.55,75.254,112,65.2,68.5,312,496,38.2,44,1.2,7,0,18.5,71
2026-09-11T19:00:00Z,kokernag,Kokernag,33.59,75.32,112,65.2,68.5,312,496,38.2,44,1.2,7,0,18,70
2026-09-11T19:00:00Z,tral,Tral,33.935,75.11,79,45.4,48.3,386,491,26.5,41,3.9,7,0,19.6,53
2026-09-11T19:00:00Z,beerwah,Beerwah,33.995,74.71,119,46.4,49.8,407,485,42.7,25,5.4,7,0,18.1,67
2026-09-11T19:00:00Z,banihal,Banihal,33.438,75.197,112,65.2,68.5,308,464,38.2,44,1.2,7,0,18.6,99
2026-09-11T19:00:00Z,gurez,Gurez (Dawar),34.63,74.83,78,15.5,19.9,187,473,8.9,80,1,11,0,13.1,66
2026-09-11T19:00:00Z,tangdhar,Tangdhar,34.69,74.08,61,15.5,18.5,223,526,13.2,38,0.8,7,0,9,70
2026-09-11T20:00:00Z,srinagar,Srinagar,34.0837,74.7973,116,47,50.1,788,522,39.7,19,4.4,7,0,18.3,73
